Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,266,,,,341.7,,,114.3,,143.1,,180,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,150,390
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,48,,,160,330,230,14,210,,,,450,,,150,,190,,140,15,#DIV/0!,50,70,,18,14,,190,220,200,190,,90,200,,320,300
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,260,#DIV/0!,10,#DIV/0!,,,,380,,,130,,150,,180,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,160,120,,#DIV/0!,100,,80,600
CAPECOAST,,,,39,,,270,360,160,13,120,,,,450,,,160,,200,,180,12,130,18,90,,18,14,,200,280,150,125,,50,220,,400,300
EJURA,,,,18,,,200,220,300,12,120,,,,280,,,150,,100,,200,25,100,#DIV/0!,60,,16,7,,220,350,160,115,,#DIV/0!,100,,200,500
HO,,,,73,,,85,380,285,14,#DIV/0!,,,,270,,,150,,#DIV/0!,,200,20,#DIV/0!,20,81,,17,18,,150,260,125,115,,80,257,,320,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,230,#DIV/0!,#DIV/0!,40,120,,25,13,,220,270,#DIV/0!,#DIV/0!,,55,200,,250,350
KUMASI,,,,28,,,90,200,210,14,160,,,,350,,,140,,150,,200,70,85,30,90,,30,10,,200,280,130,125,,65,140,,180,200
MANKESSIM,,,,40,,,200,385,220,13.5,96,,,,450,,,190,,200,,140,17.5,100,30,68,,17,8.8,,200,285,167.5,140,,35,220,,300,400
OBUASI,,,,35,,,100,320,400,13,250,,,,290,,,170,,170,,240,10,100,15,70,,29,20,,160,210,90,90,,100,220,,320,600
SUNYANI,,,,35,,,135,310,300,11,60,,,,360,,,128,,180,,250,17,#DIV/0!,36,70,,9,9,,160,168,130,130,,80,150,,320,360
TAKORADI,,,,75,,,170,380,700,15,180,,,,450,,,200,,200,,180,15,150,60,85,,18,14,,250,300,200,180,,45,200,,450,380
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,360,,,140,,160,,200,20,80,#DIV/0!,57,,20,15,,250,280,120,110,,#DIV/0!,160,,200,150
TECHIMAN,,,,36,,,130,240,320,12,86,,,,410,,,108,,140,,107,#DIV/0!,90,50,90,,12,10,,220,270,130,115,,70,140,,240,340
TEMA,,,,70,,,120,352,300,15,#DIV/0!,,,,440,,,150,,240,,220,14,#DIV/0!,60,80,,#DIV/0!,#DIV/0!,,190,260,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,250,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,266,,,,341.7,,,114.3,,143.1,,180,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,150,390
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,45,,,160,330,220,14,210,,,,450,,,150,,190,,140,15,#DIV/0!,50,70,,18,14,,190,220,200,190,,90,200,,350,300
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,12,#DIV/0!,,,,400,,,130,,150,,200,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,160,130,,#DIV/0!,100,,120,600
CAPECOAST,,,,40,,,270,360,150,13,110,,,,450,,,180,,200,,180,15,130,20,80,,19,13,,200,280,170,135,,50,220,,400,350
EJURA,,,,18,,,180,300,300,12,40,,,,350,,,150,,120,,200,25,100,#DIV/0!,60,,14,10,,220,350,160,115,,250,130,,150,500
HO,,,,73,,,85,380,285,14,#DIV/0!,,,,270,,,150,,#DIV/0!,,200,20,#DIV/0!,20,81,,17,18,,150,260,125,115,,80,257,,320,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,230,#DIV/0!,#DIV/0!,40,120,,25,13,,220,270,#DIV/0!,#DIV/0!,,55,200,,250,350
KUMASI,,,,26,,,85,200,200,14,144,,,,350,,,145,,150,,210,7.5,85,40,90,,30,10,,200,280,133,125,,60,140,,175,210
MANKESSIM,,,,39.6,,,220,370,180,13,85,,,,455,,,185,,200,,220,20,100,33.5,67,,19,10,,200,285,170,145,,40,220,,380,420
OBUASI,,,,35,,,100,320,400,13,250,,,,290,,,170,,170,,240,10,100,15,70,,35,20,,160,210,90,90,,100,220,,320,600
SUNYANI,,,,35,,,135,310,300,11,60,,,,360,,,128,,180,,250,17,#DIV/0!,36,70,,9,9,,160,168,130,130,,80,150,,320,360
TAKORADI,,,,75,,,170,380,700,15,180,,,,450,,,200,,200,,180,15,150,60,85,,18,14,,250,300,200,180,,45,200,,450,380
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,360,,,140,,160,,200,20,80,#DIV/0!,57,,20,15,,250,280,120,110,,#DIV/0!,160,,200,150
TECHIMAN,,,,36,,,140,240,320,12,86,,,,410,,,120,,140,,107,8,140,50,90,,10,13,,100,220,130,120,,70,140,,240,400
TEMA,,,,80,,,120,340,300,15,#DIV/0!,,,,560,,,150,,240,,220,14,#DIV/0!,60,80,,#DIV/0!,#DIV/0!,,190,260,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,400,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,216,,,,375.8,,,117.85,,143.1,,180,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,#DIV/0!,390
5TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,48,,,250,360,350,14,220,,,,450,,,150,,190,,150,15,#DIV/0!,50,70,,22,18,,190,220,200,190,,90,200,,360,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,250,#DIV/0!,12,#DIV/0!,,,,400,,,130,,150,,170,#DIV/0!,120,#DIV/0!,50,,20,18,,160,300,160,130,,#DIV/0!,120,,160,600
CAPECOAST,,,,39,,,270,350,150,13,110,,,,450,,,180,,200,,240,15,130,20,90,,20,14,,200,280,170,135,,50,220,,500,350
EJURA,,,,18,,,180,300,300,12,40,,,,350,,,150,,120,,200,25,100,#DIV/0!,60,,14,10,,220,350,160,115,,250,130,,150,500
HO,,,,73,,,85,380,285,14,#DIV/0!,,,,270,,,150,,#DIV/0!,,200,20,#DIV/0!,20,81,,17,18,,150,260,125,115,,80,257,,320,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,200,#DIV/0!,#DIV/0!,40,120,,25,15,,220,270,#DIV/0!,#DIV/0!,,47,200,,450,350
KUMASI,,,,28,,,80,200,200,14,160,,,,350,,,145,,140,,250,7,90,40,90,,28,10,,200,280,130,125,,60,135,,170,200
MANKESSIM,,,,40,,,230,370,180,13.5,100,,,,460,,,190,,200,,230,20,120,32,68,,20,12,,210,285,175,145,,40,220,,350,450
OBUASI,,,,35,,,100,320,400,13,250,,,,290,,,170,,170,,240,10,100,15,70,,35,20,,160,210,90,90,,100,220,,250,600
SUNYANI,,,,35,,,135,310,250,11,100,,,,360,,,136,,180,,250,10,#DIV/0!,36,65,,8,10,,155,203,130,130,,80,150,,350,350
TAKORADI,,,,75,,,170,380,700,15,180,,,,450,,,200,,200,,180,15,150,60,85,,18,15,,250,280,220,190,,45,200,,450,380
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,400,,,140,,160,,320,20,80,#DIV/0!,57,,20,15,,210,280,140,120,,#DIV/0!,140,,350,150
TECHIMAN,,,,36,,,140,240,320,12,86,,,,410,,,120,,140,,107,8,90,50,90,,10,13,,140,220,130,120,,70,140,,240,400
TEMA,,,,70,,,120,340,300,15,#DIV/0!,,,,560,,,150,,240,,210,#DIV/0!,#DIV/0!,#DIV/0!,74,,#DIV/0!,#DIV/0!,,190,260,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,500,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,216,,,,375.8,,,117.85,,143.1,,180,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,#DIV/0!,390
JUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,48,,,250,360,350,14,220,,,,450,,,150,,190,,150,15,#DIV/0!,50,70,,22,18,,190,220,200,190,,90,200,,600,320
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,250,#DIV/0!,12,#DIV/0!,,,,400,,,120,,150,,200,#DIV/0!,120,#DIV/0!,50,,25,20,,160,300,160,130,,#DIV/0!,110,,200,650
CAPECOAST,,,,39,,,270,350,150,13,110,,,,450,,,180,,200,,240,15,130,20,90,,20,14,,200,280,170,135,,50,220,,500,350
EJURA,,,,30,,,150,250,250,12,140,,,,450,,,150,,150,,250,25,95,#DIV/0!,85,,12,10,,240,280,140,120,,#DIV/0!,120,,160,300
HO,,,,70,,,102,260,350,14,#DIV/0!,,,,240,,,140,,130,,320,30,#DIV/0!,250,72,,22,20,,155,270,130,120,,86,257,,400,360
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,200,#DIV/0!,#DIV/0!,40,120,,25,15,,220,270,#DIV/0!,#DIV/0!,,47,200,,450,350
KUMASI,,,,26,,,84,200,210,14,160,,,,340,,,140,,145,,260,7,90,40,90,,30,11,,200,280,130,125,,55,140,,180,210
MANKESSIM,,,,40,,,230,370,180,13.5,100,,,,460,,,190,,200,,230,20,120,32,68,,20,12,,210,285,175,145,,40,220,,350,450
OBUASI,,,,35,,,100,320,400,13,250,,,,290,,,170,,170,,240,10,100,15,70,,35,20,,160,210,90,90,,100,220,,250,600
SUNYANI,,,,30,,,130,300,250,13,100,,,,400,,,136,,180,,250,45,#DIV/0!,40,65,,10,15,,161,220,140,130,,80,150,,350,340
TAKORADI,,,,80,,,200,380,700,15,200,,,,450,,,166,,220,,200,15,150,60,80,,20,16,,240,300,220,200,,48,#DIV/0!,,480,420
TAMALE,,,,100,,,#DIV/0!,240,136,13,#DIV/0!,,,,480,,,160,,160,,320,20,80,#DIV/0!,57,,20,15,,210,270,140,120,,#DIV/0!,140,,350,150
TECHIMAN,,,,36,,,120,240,320,12,200,,,,430,,,125,,150,,122,8,120,50,90,,10,13,,250,270,125,125,,70,140,,280,450
TEMA,,,,70,,,120,340,300,16,#DIV/0!,,,,560,,,150,,240,,230,#DIV/0!,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,190,280,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,400,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,233.3,,,,375.8,,,114.3,,143.1,,36,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,#DIV/0!,390
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,48,,,180,420,210,13,200,,,,520,,,170,,210,,200,15,#DIV/0!,60,70,,30,26,,190,220,210,190,,90,250,,800,380
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,12,#DIV/0!,,,,420,,,125,,150,,260,#DIV/0!,130,#DIV/0!,50,,25,20,,160,300,160,130,,#DIV/0!,120,,250,700
CAPECOAST,,,,39,,,270,360,160,15,120,,,,450,,,190,,200,,280,15,130,20,80,,19,15,,210,285,170,135,,50,220,,600,350
EJURA,,,,30,,,150,250,250,12,140,,,,550,,,160,,200,,250,25,95,#DIV/0!,85,,12,10,,240,280,220,170,,#DIV/0!,200,,160,300
HO,,,,70,,,150,300,400,14,#DIV/0!,,,,260,,,150,,120,,350,30,#DIV/0!,200,72,,22,20,,155,270,130,120,,86,180,,500,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,200,#DIV/0!,#DIV/0!,40,120,,25,15,,220,270,#DIV/0!,#DIV/0!,,47,200,,450,350
KUMASI,,,,28,,,80,200,200,14,164,,,,350,,,140,,140,,240,8,90,40,90,,35,12,,200,280,130,125,,60,135,,180,200
MANKESSIM,,,,44,,,230,375,200,13,180,,,,450,,,200,,210,,260,19,120,40,75,,19,13,,200,200,175,145,,40,220,,380,480
OBUASI,,,,35,,,100,320,400,13,300,,,,400,,,200,,170,,240,10,100,15,70,,70,40,,160,210,90,90,,100,220,,400,600
SUNYANI,,,,30,,,130,300,250,10,120,,,,400,,,136,,180,,250,45,#DIV/0!,40,65,,10,12,,141,220,135,135,,80,150,,420,350
TAKORADI,,,,75,,,180,380,700,15,220,,,,450,,,160,,210,,200,15,150,60,85,,22,16,,240,300,230,200,,45,200,,450,380
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,360,,,140,,160,,200,20,80,#DIV/0!,57,,20,15,,250,280,120,110,,#DIV/0!,160,,200,150
TECHIMAN,,,,36,,,120,260,320,12,220,,,,420,,,125,,150,,127,10,120,50,90,,10,12,,230,260,120,120,,70,140,,220,450
TEMA,,,,70,,,120,340,300,16,#DIV/0!,,,,560,,,150,,240,,230,#DIV/0!,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,190,280,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,250,,,,375.8,,,107.1,,143.1,,360,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,#DIV/0!,420
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,48,,,180,420,210,13,200,,,,520,,,170,,210,,200,15,#DIV/0!,60,70,,30,26,,190,220,210,190,,90,250,,800,380
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,280,#DIV/0!,12,#DIV/0!,,,,400,,,130,,150,,200,#DIV/0!,100,#DIV/0!,50,,20,18,,160,300,160,130,,#DIV/0!,100,,120,600
CAPECOAST,,,,40,,,280,360,180,15,150,,,,450,,,190,,200,,300,16,130,20,80,,22,17,,210,290,175,150,,50,220,,600,400
EJURA,,,,15,,,150,250,250,12,140,,,,550,,,160,,160,,300,25,95,#DIV/0!,85,,20,18,,240,280,180,160,,#DIV/0!,200,,200,300
HO,,,,70,,,150,300,400,14,#DIV/0!,,,,260,,,150,,120,,350,30,#DIV/0!,200,72,,22,20,,155,270,130,120,,86,180,,500,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,200,#DIV/0!,#DIV/0!,40,120,,25,15,,220,270,#DIV/0!,#DIV/0!,,47,200,,450,350
KUMASI,,,,28,,,80,200,200,14,164,,,,350,,,140,,140,,240,8,90,40,90,,35,12,,200,280,130,125,,60,135,,180,200
MANKESSIM,,,,43,,,245,380,230,13,190,,,,460,,,200,,210,,280,18,120,42,76,,19,13.5,,200,285,175,150,,35,220,,450,450
OBUASI,,,,35,,,100,320,400,13,300,,,,400,,,200,,170,,240,10,100,15,70,,70,40,,160,210,90,90,,100,220,,400,600
SUNYANI,,,,30,,,130,300,250,10,120,,,,400,,,136,,180,,250,45,#DIV/0!,40,65,,10,12,,141,220,135,135,,80,150,,420,350
TAKORADI,,,,75,,,200,380,720,15,250,,,,450,,,160,,220,,200,16,150,60,85,,20,16,,300,300,220,200,,48,200,,450,400
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,480,,,160,,160,,320,20,90,#DIV/0!,87,,20,15,,210,270,140,130,,#DIV/0!,160,,700,160
TECHIMAN,,,,36,,,120,240,320,12,200,,,,430,,,125,,150,,122,8,120,50,90,,10,13,,250,270,125,125,,70,140,,280,450
TEMA,,,,70,,,120,340,300,16,#DIV/0!,,,,560,,,150,,240,,230,#DIV/0!,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,190,280,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,250,,,,375.8,,,107.1,,143.1,,360,#DIV/0!,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,#DIV/0!,420
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,45,,,180,420,210,14,200,,,,520,,,170,,210,,200,15,#DIV/0!,60,70,,28,24,,190,220,210,190,,90,250,,700,380
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,12,#DIV/0!,,,,450,,,120,,150,,300,#DIV/0!,130,0,50,,25,20,,160,300,160,130,,#DIV/0!,135,,#DIV/0!,600
CAPECOAST,,,,40,,,280,360,180,15,150,,,,450,,,200,,200,,320,16,130,20,80,,30,20,,210,290,175,150,,50,220,,600,400
EJURA,,,,15,,,150,250,250,12,140,,,,550,,,160,,160,,300,25,95,#DIV/0!,85,,20,18,,240,280,180,160,,#DIV/0!,200,,200,300
HO,,,,70,,,150,300,400,14,#DIV/0!,,,,260,,,150,,120,,350,30,#DIV/0!,200,72,,22,20,,155,270,130,120,,86,180,,500,365
KOFORIDUA,,,,40,,,120,320,400,14,240,,,,390,,,200,,180,,200,#DIV/0!,#DIV/0!,40,120,,25,15,,220,270,#DIV/0!,#DIV/0!,,47,200,,450,350
KUMASI,,,,30,,,94,200,250,14,160,,,,350,,,150,,140,,250,7,90,#DIV/0!,90,,38,15,,200,280,130,125,,60,140,,200,200
MANKESSIM,,,,41,,,225,390,240,13.5,200,,,,470,,,200,,210,,285,17,120,48,80,,19.5,12.5,,210,285,175,150,,37,220,,550,500
OBUASI,,,,35,,,100,320,400,13,300,,,,400,,,200,,170,,240,10,100,15,70,,70,40,,160,210,90,90,,100,220,,400,600
SUNYANI,,,,30,,,130,300,250,10,120,,,,400,,,136,,180,,250,45,#DIV/0!,40,65,,10,12,,141,220,135,135,,80,150,,420,350
TAKORADI,,,,75,,,200,380,720,16,250,,,,480,,,200,,220,,200,16,150,60,85,,22,16,,300,300,220,200,,50,200,,450,400
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,400,,,140,,160,,320,20,80,#DIV/0!,57,,20,15,,210,280,140,120,,#DIV/0!,140,,350,150
TECHIMAN,,,,36,,,120,260,320,12,114,,,,380,,,125,,100,,122,8,120,50,90,,10,12,,250,270,130,125,,70,140,,280,400
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,280,#DIV/0!,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,190,280,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,600,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,366,,,,410,,,107.1,,161,,360,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,240,420
JULY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,40,,,182,420,210,15,200,,,,520,,,170,,210,,200,15,#DIV/0!,60,70,,28,22,,190,210,210,190,,90,250,,650,380
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,12,#DIV/0!,,,,450,,,126,,150,,350,#DIV/0!,140,#DIV/0!,50,,30,20,,160,300,180,160,,#DIV/0!,120,,#DIV/0!,740
CAPECOAST,,,,55,,,280,270,180,15,150,,,,450,,,200,,200,,300,16,130,20,80,,25,18,,210,290,175,150,,40,220,,500,400
EJURA,,,,18,,,150,250,250,12,120,,,,550,,,180,,160,,300,25,95,#DIV/0!,85,,20,18,,240,280,180,160,,#DIV/0!,200,,220,420
HO,,,,70,,,102,260,350,14,#DIV/0!,,,,240,,,140,,130,,320,30,#DIV/0!,250,72,,22,20,,155,270,130,120,,86,257,,400,360
KOFORIDUA,,,,40,,,130,320,500,14,280,,,,520,,,200,,220,,250,15,#DIV/0!,40,120,,22,15,,270,220,#DIV/0!,#DIV/0!,,55,200,,700,400
KUMASI,,,,26,,,90,200,200,14,200,,,,350,,,140,,145,,270,8,90,#DIV/0!,90,,37,14,,200,280,260,250,,62,140,,200,200
MANKESSIM,,,,45,,,240,390,240,13,185,,,,460,,,200,,215,,300,17,120,43,80,,18.5,13,,210,290,175,150,,38,220,,500,480
OBUASI,,,,35,,,100,320,400,13,300,,,,400,,,200,,170,,240,10,100,15,70,,70,40,,160,210,90,90,,100,220,,400,600
SUNYANI,,,,30,,,100,300,270,13,100,,,,420,,,152,,180,,260,10,#DIV/0!,40,65,,18,15,,160,201,140,140,,70,160,,210,320
TAKORADI,,,,75,,,200,380,750,16,220,,,,450,,,166,,220,,300,16,150,55,85,,20,16,,250,300,240,200,,45,200,,480,400
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,400,,,140,,160,,320,20,80,#DIV/0!,57,,20,15,,210,280,140,120,,#DIV/0!,140,,350,150
TECHIMAN,,,,36,,,150,250,320,13,180,,,,400,,,131,,160,,122,13,120,50,90,,13,20,,250,270,130,125,,90,150,,187,400
TEMA,,,,60,,,100,340,350,20,#DIV/0!,,,,560,,,192,,200,,280,30,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,280,190,#DIV/0!,#DIV/0!,,60,#DIV/0!,,500,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,466,,,,410,,,142.85,,163.5,,360,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,430,490
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,40,,,182,420,210,15,200,,,,520,,,170,,210,,200,15,#DIV/0!,60,70,,28,22,,190,210,210,190,,90,250,,650,380
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,12,#DIV/0!,,,,450,,,126,,150,,350,#DIV/0!,140,#DIV/0!,50,,30,20,,160,300,180,160,,#DIV/0!,120,,#DIV/0!,740
CAPECOAST,,,,54,,,280,360,180,15,150,,,,450,,,200,,200,,320,16,130,20,90,,26,17,,210,290,175,150,,40,220,,400,400
EJURA,,,,18,,,150,250,250,12,120,,,,550,,,180,,160,,300,25,95,0,85,,20,18,,240,280,180,160,,#DIV/0!,200,,220,420
HO,,,,70,,,102,260,350,14,#DIV/0!,,,,240,,,140,,130,,320,30,#DIV/0!,250,72,,22,20,,155,270,130,120,,86,257,,400,360
KOFORIDUA,,,,40,,,130,320,500,14,280,,,,520,,,200,,220,,250,15,#DIV/0!,40,120,,22,15,,270,220,#DIV/0!,#DIV/0!,,55,200,,700,400
KUMASI,,,,32,,,140,240,240,15,180,,,,450,,,165,,180,,250,8,95,#DIV/0!,75,,42,16,,220,300,140,130,,65,160,,210,240
MANKESSIM,,,,42,,,250,390,220,13.5,150,,,,460,,,190,,215,,320,16.5,120,40,80,,19.6,12,,210,290,180,150,,40,220,,450,500
OBUASI,,,,30,,,100,340,500,16,100,,,,400,,,190,,170,,250,10,100,15,70,,50,30,,160,230,180,180,,100,220,,280,600
SUNYANI,,,,30,,,100,300,270,13,100,,,,420,,,152,,180,,260,10,#DIV/0!,40,65,,18,15,,160,201,140,140,,70,160,,210,320
TAKORADI,,,,75,,,200,380,750,16,220,,,,450,,,166,,220,,300,16,150,55,85,,20,16,,250,300,240,200,,45,200,,480,400
TAMALE,,,,60,,,#DIV/0!,240,136,13,#DIV/0!,,,,400,,,140,,160,,320,20,80,#DIV/0!,57,,20,15,,210,280,140,120,,#DIV/0!,140,,350,150
TECHIMAN,,,,36,,,150,260,320,13,120,,,,400,,,139,,160,,136,13,120,50,90,,13,17,,250,270,130,130,,90,150,,230,400
TEMA,,,,60,,,100,340,350,20,#DIV/0!,,,,560,,,192,,200,,280,30,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,280,190,#DIV/0!,#DIV/0!,,60,#DIV/0!,,500,#DIV/0!
WA,,,,#DIV/0!,,,#DIV/0!,253,372.8,14,466,,,,410,,,142.85,,163.5,,360,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,430,490
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,55,,,160,300,400,15,165,,,,460,,,200,,210,,220,20,#DIV/0!,60,70,,35,25,,195,240,220,190,,95,210,,450,340
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,300,#DIV/0!,14,#DIV/0!,,,,450,,,130,,150,,380,#DIV/0!,140,#DIV/0!,50,,30,20,,165,320,180,160,,#DIV/0!,110,,#DIV/0!,740
CAPECOAST,,,,50,,,320,390,150,15,120,,,,490,,,200,,200,,300,16,130,30,80,,20,15,,210,290,170,150,,50,220,,400,400
EJURA,,,,18,,,150,300,250,12,120,,,,550,,,200,,165,,300,25,95,#DIV/0!,85,,20,18,,250,300,200,160,,,210,,220,470
HO,,,,75,,,150,480,400,16,#DIV/0!,,,,320,,,190,,130,,380,35,#DIV/0!,200,73,,23,20,,220,280,300,250,,86,180,,600,550
KOFORIDUA,,,,40,,,150,320,600,15,120,,,,520,,,220,,220,,320,15,#DIV/0!,40,120,,28,20,,220,270,#DIV/0!,#DIV/0!,,55,200,,650,400
KUMASI,,,,32,,,124,240,240,15,104,,,,450,,,150,,170,,240,7,90,#DIV/0!,80,,38,14,,240,300,140,135,,65,160,,240,200
MANKESSIM,,,,43,,,200,380,240,14,170,,,,460,,,200,,210,,320,17,130,37,80,,19,12,,210,290,175,150,,32,220,,500,500
OBUASI,,,,30,,,100,340,500,16,100,,,,400,,,190,,170,,250,#DIV/0!,100,#DIV/0!,90,,50,30,,160,230,180,160,,100,220,,280,600
SUNYANI,,,,30,,,100,300,200,14,70,,,,400,,,166,,180,,200,10,#DIV/0!,44,65,,15,12,,156,205,220,220,,80,170,,200,350
TAKORADI,,,,75,,,400,350,180,15,700,,,,450,,,180,,220,,280,15,160,60,85,,20,15,,300,350,250,200,,45,200,,600,180
TAMALE,,,,100,,,#DIV/0!,360,136,13,#DIV/0!,,,,440,,,160,,200,,320,20,100,#DIV/0!,57,,20,15,,200,270,140,130,,#DIV/0!,160,,300,180
TECHIMAN,,,,36,,,120,260,320,12,114,,,,380,,,125,,100,,122,8,120,50,90,,10,12,,250,270,130,125,,70,140,,280,400
TEMA,,,,60,,,100,340,350,18,#DIV/0!,,,,560,,,192,,200,,280,30,#DIV/0!,60,74,,#DIV/0!,#DIV/0!,,190,290,#DIV/0!,#DIV/0!,,60,#DIV/0!,,550,#DIV/0!
